,BUSI_PROFITS,NET_INCM,TTL_LIAB,CREDIT_RNK,INTEREST
289,4780192359,-1585102896,12316794185,4,1.69
290,-4515758813,1837687168,4762784147,4,1.56
291,-5056348365,-11435055270,49559590354,5,2.44
292,17196337581,13875197500,34509035187,4,1.47
293,1858245791,-72363014,30081813593,4,1.78
294,1995492846,2987172829,14712306538,4,1.59
295,1532457819,1424342122,69252739964,4,2.06
296,10405095323,-1736095889,33112080377,5,1.95
297,6602812648,4503560788,20588564555,4,1.6
298,-9167101135,-14882706395,13507566354,5,2.21
299,-4525643269,-6831030932,19957214543,5,2.0
300,4751991267,4579140370,154887868066,4,2.88
301,-824119449,-69384009,49918378752,6,2.14
302,165226849,-4665542194,78818679544,1,2.08
303,8568643954,11480983127,22247134265,5,1.55
304,8254308642,7533274855,71891267591,5,1.99
305,-8220672868,-7730515307,697555635,3,1.68
306,533427617,2311391499,44938143728,3,1.73
307,21664885638,17341484944,9865546556,6,1.47
308,602604137,-244654706,11084689340,3,1.55
309,1281488407,984993244,11502289476,7,1.92
310,3682493336,3108836720,21745748153,4,1.64
311,1597315405,-25099242,25036920010,5,1.84
312,5231537323,8774377239,15648613185,6,1.67
313,14135573622,7486345300,88399170526,5,2.13
314,-2825982245,-2363712279,4542893491,5,1.76
315,935079436,1198581069,60122609771,3,1.89
316,2807934015,1880001112,31565575538,4,1.74
317,8093017225,6859858831,12182061972,6,1.69
318,705203856,479175873,13681529188,5,1.75
319,-2218942481,-4365086543,37970333225,6,2.17
320,3312195223,2573956017,27625760676,2,1.49
321,1543407302,964678801,16754574447,6,1.86
322,1530266289,1062235624,27360242992,3,1.63
323,-15447300496,-16268117497,127664955272,3,3.57
324,1203420462,2200802369,15560184115,5,1.72
325,600639826,435559687,35260547003,4,1.81
326,7366723181,1217704824,49027730085,3,1.79
327,2412602294,2500300119,86137067299,3,2.08
328,5344447755,3999898912,2669564015,5,1.6
329,4207769949,3633529444,89868907602,7,2.47
330,9581678774,25376157035,126074230705,4,1.79
331,21172940683,17991539477,68850393043,5,1.68
332,1812979300,-1200754356,30375591429,7,2.12
333,2101454230,4513026444,18783283507,5,1.68
334,3305011346,3631624656,15872621305,6,1.79
335,-4206325432,-11625465378,20986323268,4,2.06
336,4985161528,4499818595,3329383841,5,1.59
337,-2443211837,-961759727,45368412160,7,2.23
338,1618497001,1490223699,21961118610,5,1.78
339,3484864479,-709539737,74274353098,2,1.98
340,10894454446,9159322777,37245641425,3,1.49
341,8082831425,12854656268,8861316102,5,1.45
342,16969080946,18123380045,31901375758,4,1.36
343,7490904112,1603098861,94247109549,4,2.29
344,-8602180267,-9967649712,25750331748,1,1.75
345,1504829179,1678718945,5478089119,5,1.67
346,682643298,6959684760,34325901036,6,1.83
347,3271141303,2099708106,16904219659,5,1.73
348,2082886269,2608424855,29651167344,3,1.61
349,7565520473,6190140463,20371785713,3,1.45
350,3504613760,3454194482,11739637210,3,1.46
351,1409146011,2480379506,29030833422,6,1.9
352,14680774337,12334335745,26395124093,4,1.45
353,8198887859,3816600801,31126621674,5,1.78
354,7914173651,7747617532,14883193279,7,1.79
355,5388656274,4619658531,54445909491,6,2.03
356,3042024465,3094333203,5004938631,6,1.73
357,9598044015,7263455942,43214336596,3,1.58
358,9507993840,10623082218,78385751825,3,1.75
359,-765144988,-1751955702,3347657584,4,1.64
360,-1542459659,-1778558067,4445446689,3,1.54
361,2307586801,1774745759,10118319405,3,1.49
362,20095395639,17046153274,35998682817,6,1.61
363,-7762444103,-7412172732,60974327272,6,2.5
364,17627147348,14692591784,122747540976,2,1.89
365,-10630730358,-11100339697,9009761843,1,1.64
366,12249238410,5176678820,152602000303,2,2.62
367,2696736965,2012642598,17914413784,7,1.94
368,-363834833,-7175800002,3875052871,5,1.88
369,2192516741,1103047151,17529156801,5,1.76
370,-6827231511,-14131605640,21118595673,2,1.95
371,5564953893,7726745001,8970230983,5,1.55
372,1948233084,1080923926,11892010914,5,1.72
373,5760018579,231833361,1717588968,8,1.98
374,-7356016447,-9202720977,18615941641,8,2.36
375,17061919716,10441379386,54077997464,6,1.87
376,1679210433,9944482759,9297936301,4,1.41
377,2497105966,2835270131,36895461399,4,1.75
378,3294164622,3043247333,53318933479,6,2.07
379,-3667211831,-1967363728,15009673480,4,1.72
380,13733406038,9394425500,73244684186,5,1.94
381,1905641701,860501305,51973854917,7,2.23
382,4739553353,4734517441,44953180859,6,1.96
383,5168407859,2085532738,2571187802,4,1.54
384,3402135474,2578568545,4556782528,6,1.74
385,1424706079,889990373,13480020286,4,1.64
386,1595795419,-7314886518,4838671963,7,2.1
387,4705144537,-401779623,90732165047,2,2.14
388,-1892191247,-23731827372,109417741080,7,4.15
389,-1952090303,-1445275479,10261089314,3,1.58
390,1223118850,1083523123,32173477832,3,1.67
391,8180677071,6792500119,7316173158,3,1.36
392,17818507368,21739514751,48900109385,4,1.38
393,-6687586694,-15678085414,6540360244,3,1.97
394,-1811743212,-10737393414,26179562811,5,2.18
395,746757739,-9631528976,22945253016,5,2.12
396,1206472985,1694354819,7629282867,5,1.68
397,7914919410,9100880135,41154284254,4,1.62
398,11522556927,10920360194,4493715991,2,1.16
399,715170248,1448613041,86783668055,4,2.22
400,-8836543985,-20469996571,20498921805,7,2.69
401,1010866420,-7257859279,16892644189,3,1.79
402,-5151124058,-7164135019,14029780925,6,2.06
403,11948025815,12136695664,19870965746,3,1.32
404,3562554991,1644228940,104400286395,1,2.1
405,13625332307,11756847699,12419710609,7,1.69
406,7743498676,6855633614,44522503948,5,1.8
407,11503796297,11512355296,8567639468,3,1.27
408,2836463566,1203286486,117634669984,2,2.37
409,-3435077370,-5098952596,42177796042,2,1.84
410,-6003150317,-5771236510,878459830,7,2.02
411,251004184,85705550,88345709481,4,2.29
412,2516377202,2239093756,11086466136,6,1.79
413,-4004987502,-4378100420,11594880839,4,1.76
414,5624436196,3629708906,47373764157,4,1.81
415,7342620335,5625349052,55490688936,5,1.91
416,6516687354,16116051568,106319214078,5,2.01
417,8077357785,9125740534,6059928978,4,1.41
418,-3001643763,-4803942336,41658796556,6,2.22
419,2707457897,-796014542,36100208705,3,1.75
420,2653503074,155622736,46456916033,5,2.0
421,2881566405,-1036550850,126575529343,7,3.08
422,-2048083701,-2786879162,2758960509,6,1.86
423,22007881076,18889220090,62290324495,5,1.62
424,1104263517,2654485598,35149690229,5,1.84
425,8308072359,9218032480,40856951642,4,1.61
426,4594043341,7669536573,5314997562,4,1.43
427,-3742402042,-4354471283,40254893011,3,1.89
428,10638812121,8941191666,33293436206,4,1.57
429,1165885701,2557997665,79644402150,5,2.22
430,8521503174,5452247410,31257091322,3,1.54
431,-6280844943,-7870656210,21026344957,4,1.94
432,9436447823,8675047967,41923104628,4,1.63
433,5879243989,6342998296,45862366566,5,1.82
434,-2371423100,-4398530702,3799576635,4,1.71
435,15340397293,12932668229,19090945352,4,1.4
436,366361934,-2257233185,57989270348,6,2.28
437,4779802847,3333269580,21497310741,5,1.73
438,22816115717,20530424708,5866383073,4,1.2
439,831363772,-1555238453,11248261299,3,1.59
440,2937660324,2790336996,66458860101,4,1.99
441,16337228297,13929056176,13758721535,3,1.25
442,2839521528,2514768346,11365142440,3,1.48
443,-1451831143,-871799281,20421510782,6,1.93
444,147177997,1966058190,15920021875,5,1.73
445,-386636320,-345959561,19318520999,4,1.71
446,3637731804,3193948610,23370439811,4,1.65
447,-3394187070,-21759289821,37522647890,4,2.64
448,-161816205,1574965804,8354115092,5,1.69
